PLAYER _NAME,MATCHES,ROLE,RUNS,STRIKE_RATE,AVERAGE,WICKETS,ECONOMY
Aaron Finch,83,Batsman,2608,148.01,35.72,-,-
Ashton Agar,40,Bowler,-,-,-,43,6.72
Pat Cummins,37,Bowler,-,-,-,42,7.01
Josh Hazlewood,24,Bowler,-,-,-,32,7.79
Mitchell Marsh,36,All rounder,885,125,31.6,15,7.65
Glenn Maxwell,79,Batsman,1844,155.74,30.73,-,-
Kane Richardson,26,Bowler,-,-,-,29,7.92
Steven Smith,52,Batsman,863,126.16,26.96,-,-
Mitchell Starc,48,Bowler,-,-,-,60,7.51
Marcus Stoinis,35,Batsman,456,134.51,28.5,-,-
Matthew Wade,55,Wicket keeper Batsman,729,127,20.82,-,-
David Warner,88,Batsman,2554,140.87,32.74,-,-
Adam Zampa,57,Bowler,-,-,-,65,6.81
