PLAYER _NAME,MATCHES,ROLE,RUNS,STRIKE_RATE,AVERAGE,WICKETS,ECONOMY
Mahmudullah,113,All rounder,1971,117.88,24.03,36,7.23
Afif Hossain,39,All rounder,503,117.52,16.76,7,8.09
Mahedi Hasan,29,All rounder,211,103.94,14.06,24,26.04
Mohammad Naim,32,Batsman,764,105.02,25.61,-,-
Mohammad Saifuddin,29,Bowler,-,-,-,31,8.26
Mushfiqur Rahim,99,Wicket keeper Batsman,1465,115.35,19.79,-,-
Nasum Ahmed,18,Bowler,-,-,-,22,6.63
Nurul Hasan,30,Wicket keeper Batsman,237,112.32,12.47,-,-
Rubel Hossain,28,Bowler,-,-,-,28,9.45
Shakib Al Hasan,94,All rounder,1894,120.48,22.81,117,6.66
Shamim Hossain,10,All rounder,124,111.71,15.5,0,5.5
Soumya Sarkar,66,Batsman,1136,122.51,18.03,-,-
Liton Das,46,Wicket keeper Batsman,844,122.49,19.18,-,-
