PLAYER _NAME,MATCHES,ROLE,RUNS,STRIKE_RATE,AVERAGE,WICKETS,ECONOMY
Babar Azam,67,Batsman,2507,130.09,48.21,-,-
Asif Ali,35,Batsman,401,132.78,18.22,-,-
Fhakar Zaman,59,Batsman,1130,134.36,22.15,-,-
Haider Ali,15,Batsman,256,131.95,19.69,-,-
Haris Rauf,29,Bowler,-,-,-,36,8.57
Hasan Ali,47,Bowler,-,-,-,57,8.4
Imad Wasim,58,All rounder,339,143.46,13.03,55,6.33
Mohammad Hafeez,119,All rounder,2514,122.03,26.46,61,6.6
Mohammad Nawaz,24,All rounder,70,100,11.66,20,7.06
Mohammad Rizwan,49,Wicket keeper batter,1346,128.8,51.76,-,-
Mohammad Wasim,4,All rounder,1,33.33,-,2,10.89
Shadab Khan,59,All rounder,226,126.25,15.06,67,7.24
Sarfaraz Ahmed,60,Wicket keeper batter,812,126.67,28,-,-
Shaheen Afridi,36,Bowler,-,-,-,39,7.96
Shoaib Malik,122,All rounder,2435,125.83,31.62,28,7.08
